"Step","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"1043","7810.628285309268","7810.628285309268","7810.628285309268"
"1045","10553.988847967737","10553.988847967737","10553.988847967737"
"1049","8002.0604758386","8002.0604758386","8002.0604758386"
"1051","11826.284771859968","11826.284771859968","11826.284771859968"
"1053","6751.988718448272","6751.988718448272","6751.988718448272"
"1055","8351.37813639393","8351.37813639393","8351.37813639393"
"1057","8469.282619154625","8469.282619154625","8469.282619154625"
"1059","11839.451032296844","11839.451032296844","11839.451032296844"
"1061","6888.796661086022","6888.796661086022","6888.796661086022"
"1063","6427.467611892272","6427.467611892272","6427.467611892272"
"1065","10649.606597153404","10649.606597153404","10649.606597153404"
"1067","10777.958906646443","10777.958906646443","10777.958906646443"
"1069","10558.73401928308","10558.73401928308","10558.73401928308"
"1071","9441.464380946276","9441.464380946276","9441.464380946276"
"1073","9733.65065817268","9733.65065817268","9733.65065817268"
"1075","7596.425248472701","7596.425248472701","7596.425248472701"
"1077","11423.787782662728","11423.787782662728","11423.787782662728"
"1079","6785.166949591494","6785.166949591494","6785.166949591494"
"1085","7061.579880655678","7061.579880655678","7061.579880655678"
"1087","11543.929161742679","11543.929161742679","11543.929161742679"
"1091","8877.827986274331","8877.827986274331","8877.827986274331"
"1099","9424.354973331629","9424.354973331629","9424.354973331629"
"1101","9852.693824032778","9852.693824032778","9852.693824032778"
"1103","8095.595631731326","8095.595631731326","8095.595631731326"
"1105","10213.562281443665","10213.562281443665","10213.562281443665"
"1109","7304.778480983167","7304.778480983167","7304.778480983167"
"1111","9238.419965222782","9238.419965222782","9238.419965222782"
"1113","7992.783003143865","7992.783003143865","7992.783003143865"
"1115","10982.875976726396","10982.875976726396","10982.875976726396"
"1121","12421.05157390219","12421.05157390219","12421.05157390219"
"1127","8992.355782585528","8992.355782585528","8992.355782585528"
"1129","8769.943465504086","8769.943465504086","8769.943465504086"
"1131","12778.778359494463","12778.778359494463","12778.778359494463"
"1133","13230.007275084141","13230.007275084141","13230.007275084141"
"1135","9490.18229587834","9490.18229587834","9490.18229587834"
"1137","8969.90066218151","8969.90066218151","8969.90066218151"
"1141","13384.190316432412","13384.190316432412","13384.190316432412"
"1149","9656.092275177023","9656.092275177023","9656.092275177023"
"1151","5662.5874670485855","5662.5874670485855","5662.5874670485855"
"1153","9690.045053202135","9690.045053202135","9690.045053202135"
"1155","3722.6147884529723","3722.6147884529723","3722.6147884529723"
"1157","9994.392611018315","9994.392611018315","9994.392611018315"
"1159","6245.550717717833","6245.550717717833","6245.550717717833"
"1163","8286.935186342327","8286.935186342327","8286.935186342327"
"1165","5551.279495288028","5551.279495288028","5551.279495288028"
"1167","6653.780976258662","6653.780976258662","6653.780976258662"
"1169","7527.408189799623","7527.408189799623","7527.408189799623"
"1171","4984.077193592342","4984.077193592342","4984.077193592342"
"1173","6508.037641095201","6508.037641095201","6508.037641095201"
"1175","7103.739590453456","7103.739590453456","7103.739590453456"
"1177","8686.488785655834","8686.488785655834","8686.488785655834"
"1179","11026.024745278879","11026.024745278879","11026.024745278879"
"1181","7848.591788140692","7848.591788140692","7848.591788140692"
"1183","5903.243576320946","5903.243576320946","5903.243576320946"
"1185","11545.062964372188","11545.062964372188","11545.062964372188"
"1187","11613.966350960603","11613.966350960603","11613.966350960603"
"1191","9127.040778534498","9127.040778534498","9127.040778534498"
"1193","11465.54818011979","11465.54818011979","11465.54818011979"
"1195","11547.48405533074","11547.48405533074","11547.48405533074"
"1197","7756.888250976339","7756.888250976339","7756.888250976339"
"1199","10782.821651289578","10782.821651289578","10782.821651289578"
"1205","8803.887643167329","8803.887643167329","8803.887643167329"
"1207","11512.873575815784","11512.873575815784","11512.873575815784"
"1209","9756.729957754103","9756.729957754103","9756.729957754103"
"1211","6599.290897105518","6599.290897105518","6599.290897105518"
"1213","7786.692144823633","7786.692144823633","7786.692144823633"
"1215","8285.540423013736","8285.540423013736","8285.540423013736"
"1217","5703.88841091993","5703.88841091993","5703.88841091993"
"1219","8626.075981583826","8626.075981583826","8626.075981583826"
"1221","9107.25951453967","9107.25951453967","9107.25951453967"
"1225","6064.13270653627","6064.13270653627","6064.13270653627"
"1227","8773.560819497987","8773.560819497987","8773.560819497987"
"1229","7850.9111276566355","7850.9111276566355","7850.9111276566355"
"1231","8838.0976700109","8838.0976700109","8838.0976700109"
"1233","8859.314301028871","8859.314301028871","8859.314301028871"
"1235","9580.064437187597","9580.064437187597","9580.064437187597"
